步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
3,115,2,4,10000,0,18,46.94719805568616,1678.496268562245,-1542.1888911543592,-100.19363783205141,5.587552491977151,5.245905987874465
4,115,2,4,10000,0,59,95.93426064741107,1678.496268562245,-1499.1526660338882,-91.03636110177244,5.796648191703758,1.830371029123003
5,115,2,4,10000,0,210,184.57704667273083,1678.496268562245,-1354.1689519797605,-135.33446193904902,7.381010211423241,-11.796818182127616
6,115,2,4,10000,0,487,364.3238891750202,1678.496268562245,-1019.4085242881877,-249.20707438447374,10.46285094747688,-56.01963166204024
7,115,2,4,10000,0,977,1006.6352636379513,1678.496268562245,-406.9491531001952,-242.16472841842977,31.986869349434027,-54.73399275510272
8,115,2,4,10000,0,1692,1876.7969570754224,1678.496268562245,416.4695360572837,-213.24025626527538,16.43113447150703,-21.359725750337912
9,115,2,4,10000,0,2504,2290.2546348489936,1678.496268562245,841.6068424308659,-299.6176171334846,55.297706421840104,14.47143456752737
10,115,2,4,10000,0,2828,2649.167942752379,1678.496268562245,1157.1134270560249,-195.9352160381832,11.9913413941531,-2.497878221860603
11,115,2,4,10000,0,2747,2649.167942752379,1678.496268562245,1080.6526108181404,-134.43436793019484,8.484751636137355,15.968679666051129
12,115,2,4,10000,0,2575,2622.31315764103,1678.496268562245,894.2749038954386,-1.9623635610766783,0.7311805117408072,50.773168232682295
13,115,2,4,10000,0,2107,2150.380521781748,1678.496268562245,298.32937314791496,123.60332143025794,-11.256077509890476,61.20763615122039
14,115,2,4,10000,0,1504,1597.3168304358169,1678.496268562245,-205.3962340689801,80.7601510641224,-12.17586859606741,55.632513474496974
15,115,2,4,10000,0,902,1043.897741510973,1678.496268562245,-728.985927157743,45.067062108069535,20.84206107045335,28.478276927948148
16,115,2,4,10000,0,614,530.2546346011306,1678.496268562245,-1146.4867562557292,-22.6615848904472,18.073788727582404,2.8329184574796162
17,115,2,4,10000,0,276,254.11972454893703,1678.496268562245,-1352.8129206093706,-73.49709985488327,-3.528541173828208,5.462017624774186
19,115,2,4,10000,0,26,70.32108032597102,1678.496268562245,-1501.0351502425783,-106.10575745489422,-11.486351894652817,10.452071355851528
20,115,2,4,10000,0,14,70.3210803259708,1678.496268562245,-1503.5004414077,-106.29029313362432,-8.856797943827132,10.472344248877404
21,115,2,4,10000,0,4,70.3210803259708,1678.496268562245,-1503.5004414077,-106.29029313362432,-8.856797943827132,10.472344248877404
1,207,2,6,7000,0,3,44.49958804237963,1678.496268562245,-1590.7095427653867,-69.01483326028273,1.4851873881709654,24.24250811763326
2,207,2,6,7000,0,9,44.49958804237963,1678.496268562245,-1590.7095427653867,-69.01483326028273,1.4851873881709654,24.24250811763326
3,207,2,6,7000,0,22,44.49958804237963,1678.496268562245,-1589.5578665007815,-69.5000962748307,1.4851873881709654,23.576094867575947
4,207,2,6,7000,0,89,97.93128934631545,1678.496268562245,-1545.4181354390435,-62.23992370838064,-0.248440597378905,27.341520528873673
5,207,2,6,7000,0,252,254.13174493634688,1678.496268562245,-1360.8860495289086,-103.10749102026318,-11.993542635683866,51.62255955895762
6,207,2,6,7000,0,612,683.6577712845789,1678.496268562245,-908.3439127596951,-157.90971071166302,-31.98967927223306,103.40480546592502
7,207,2,6,7000,0,1111,1238.4271514748375,1678.496268562245,-334.6576960561739,-200.61319657233147,-40.3598776266616,135.5616531677596
8,207,2,6,7000,0,1659,2109.0256541322533,1678.496268562245,498.35588228959983,-177.72717454630876,-38.1900527134303,148.09073054014775
9,207,2,6,7000,0,2570,2697.3767965952593,1678.496268562245,957.4556461047671,-120.53985380888223,-20.5287495652635,202.4934853023928
10,207,2,6,7000,0,2621,2841.22679520136,1678.496268562245,1187.8357388640316,-69.0006496959501,-5.37086988184098,49.26630735287467
11,207,2,6,7000,0,2936,2841.2267952013603,1678.496268562245,1082.7446007331407,48.86711176826111,1.0327892057601078,30.086024931953506
12,207,2,6,7000,0,2396,2597.7885917474273,1678.496268562245,817.5494317896702,115.04891633385554,20.850712405072343,-34.15673734341577
13,207,2,6,7000,0,1907,1612.442136993403,1678.496268562245,13.347972103873111,-22.046904614258732,38.115939254696265,-95.47113831315264
14,207,2,6,7000,0,1391,1310.7483310401603,1678.496268562245,-376.2665868690281,64.53899265520056,21.715051413549133,-77.73539472180627
15,207,2,6,7000,0,822,891.3963706313453,1678.496268562245,-842.038843653151,94.04265116742341,23.872444617600234,-62.97615006277214
16,207,2,6,7000,0,570,529.9213277632471,1678.496268562245,-1200.6057484029463,64.67167346652379,0.4457312696991371,-13.086597132274505
17,207,2,6,7000,0,254,405.5100170353305,1678.496268562245,-1338.7356415986721,54.727375927688854,1.7690015634672778,9.25301258060152
19,207,2,6,7000,0,42,303.5034411258282,1678.496268562245,-1452.1465181740118,28.27920873284239,24.062153591626313,24.812328413126252
20,207,2,6,7000,0,19,293.10175111212834,1678.496268562245,-1458.8981409530256,26.48117277039508,22.405375928559714,24.6170748039543
21,207,2,6,7000,0,6,293.10175111212834,1678.496268562245,-1458.8981409530256,26.48117277039508,22.405375928559714,24.6170748039543
1,207,2,4,8000,0,2,47.32574113950227,1678.496268562245,-1555.6485887948993,-96.942642603678,4.599299711584239,16.821404264250393
2,207,2,4,8000,0,12,47.32574113950227,1678.496268562245,-1555.6485887948993,-96.942642603678,4.599299711584239,16.821404264250393
3,207,2,4,8000,0,29,47.3257411395025,1678.496268562245,-1554.4969125302937,-97.42790561822598,4.599299711584239,16.154991014193076
4,207,2,4,8000,0,125,121.82176175391942,1678.496268562245,-1499.3809332728224,-87.3727122194137,5.259928491468509,24.81921019244196
5,207,2,4,8000,0,335,276.74771785122357,1678.496268562245,-1315.1222427894295,-142.99991100929216,5.906605677243842,50.46699741045665
6,207,2,4,8000,0,753,596.9458552482952,1678.496268562245,-906.2533854305923,-263.89713567341016,7.71335815533671,80.88674963471608
7,207,2,4,8000,0,1209,1348.8242415455757,1678.496268562245,-248.73110816244224,-235.9018195375788,25.596749061697324,129.36415162165454
8,207,2,4,8000,0,2124,2170.3173508744885,1678.496268562245,559.5167113963591,-217.9650821481829,17.515896715781146,132.75355634828642
9,207,2,4,8000,0,2566,2432.9735715271627,1678.496268562245,906.5325670451954,-271.27547577265005,17.120574207012517,102.09963748535972
10,207,2,4,8000,0,2834,2678.4286856932963,1678.496268562245,1158.770203118736,-180.1312902457652,10.378298816927344,10.915205441153429
11,207,2,4,8000,0,2636,2678.4286856932963,1678.496268562245,1043.4435441449034,-40.573484668556574,6.5464370615872225,-9.484079406882806
12,207,2,4,8000,0,2270,2344.471701665193,1678.496268562245,747.3181730100732,-5.105604603648284,-4.565841930460538,-71.67129337301648
13,207,2,4,8000,0,1907,1872.5624350648463,1678.496268562245,157.53279620746707,93.01056741051984,-1.4005256058245503,-55.07667150956093
14,207,2,4,8000,0,1201,1333.1239713287985,1678.496268562245,-339.4882344889229,58.21283732603414,-4.28574199969488,-59.81115807086293
15,207,2,4,8000,0,776,818.845628158935,1678.496268562245,-839.0768688555279,33.36268353310605,8.63030627379619,-62.56676135468438
16,207,2,4,8000,0,406,536.2864045297006,1678.496268562245,-1168.151893447544,12.397824372973439,27.5415775111069,-13.997372469080766
17,207,2,4,8000,0,236,241.4852011832013,1678.496268562245,-1381.676051137857,-56.443728101691605,-0.44179149806449436,1.5505033585694978
19,207,2,4,8000,0,28,26.88057645218919,1678.496268562245,-1540.5716629848412,-108.22314296040439,-17.14713097751754,14.32624481270727
20,207,2,4,8000,0,12,26.88057645218896,1678.496268562245,-1543.0369541499626,-108.4076786391345,-14.517577026691873,14.346517705733145
21,207,2,4,8000,0,3,26.88057645218896,1678.496268562245,-1543.0369541499626,-108.4076786391345,-14.517577026691873,14.346517705733145
1,115,2,4,9000,0,1,41.58569548534001,1678.496268562245,-1545.4907955322305,-100.82813725907323,5.3839404437254625,4.024419270673503
2,115,2,4,9000,0,5,41.58569548534001,1678.496268562245,-1545.4907955322305,-100.82813725907323,5.3839404437254625,4.024419270673503
3,115,2,4,9000,0,14,46.94719805568593,1678.496268562245,-1542.3790789519626,-99.8719783346005,5.3839404437254625,5.318046336278682
4,115,2,4,9000,0,58,95.93426064741084,1678.496268562245,-1499.3428538314918,-90.71470160432153,5.59303614345207,1.9025113775272227
5,115,2,4,9000,0,185,184.57704667273106,1678.496268562245,-1354.359139777364,-135.01280244159813,7.177398163171561,-11.724677833723401
6,115,2,4,9000,0,425,364.3238891750202,1678.496268562245,-1019.775530225138,-249.06223302636988,10.259238899225199,-55.59385503494197
7,115,2,4,9000,0,894,1006.6352636379512,1678.496268562245,-408.06983500797526,-242.77356303115567,31.91542821382791,-52.93303509899064
