model_index,curve_family,label,budget,method,run_kind,task_id,WL,Retention,PEC,test_r2,test_rmse,test_mae,abs_peak_step_error,tail_rmse_pct_peak
3,P2,P2 / M3,5,spline,sample,997,30,4,7000,0.9434027148506254,246.27092393435817,171.14840945180887,0.0,1.9476773313729023
3,P2,P2 / M3,5,spline,sample,1035,31,5,1000,0.9864689220807226,124.85765554218415,93.53914189189184,0.0,1.8958349314198781
3,P2,P2 / M3,5,spline,sample,1054,31,6,9000,0.9083187087050877,295.6207011237238,201.84751984126973,0.0,0.865414065589049
3,P2,P2 / M3,5,spline,sample,1056,32,4,0,0.9779818492378682,165.69031811407476,123.55285161290321,0.0,1.292963099701144
3,P2,P2 / M3,5,spline,sample,1070,32,5,3000,0.9666127816000906,187.8508612466947,135.5265276459421,0.0,1.1938578340936192
3,P2,P2 / M3,5,spline,sample,1107,33,5,7000,0.9511264153405021,216.10632628461133,151.8427919546341,0.0,1.0762455191028104
3,P2,P2 / M3,5,spline,sample,1168,35,5,2000,0.9298475610144161,275.6218501645542,196.72777657942672,0.0,0.8377369929271964
3,P2,P2 / M3,5,spline,sample,1224,37,4,3000,0.8085129048743064,440.10673253796455,252.4965613533167,0.0,1.5780029939076419
3,P2,P2 / M3,5,spline,sample,1273,38,5,8000,0.9510674761027362,217.45263632131667,133.86820134524746,0.0,1.047818587904214
3,P2,P2 / M3,5,spline,sample,1296,39,4,9000,0.9423392905853204,247.77870396518537,157.97089524562875,0.0,0.8421384874209573
3,P2,P2 / M3,5,spline,sample,1389,42,4,3000,0.8191024508380131,420.9501727504738,250.13105264475828,0.0,1.0253024599001583
3,P2,P2 / M3,5,spline,sample,1442,43,6,1000,0.8760054531226796,369.4757084177199,238.96792129145146,0.0,0.44439609833524485
3,P2,P2 / M3,5,spline,sample,1467,44,5,4000,0.9290843253837334,274.079168488841,193.0260652159281,1.0,1.035044485734002
3,P2,P2 / M3,5,spline,sample,1576,47,6,3000,0.9706300314339084,186.13057722372332,138.5490183912035,0.0,1.608018483026899
3,P2,P2 / M3,5,spline,sample,1632,49,5,4000,0.7320730335043983,519.0764688563977,305.14616127399324,0.0,1.1592680182260988
3,P2,P2 / M3,5,spline,sample,1736,52,5,9000,0.8246445360537167,394.06687791809964,254.8886396178049,0.0,0.964939734448652
3,P2,P2 / M3,5,spline,sample,1867,56,5,8000,0.8907033931230399,305.09359606053914,202.99473494473622,0.0,0.4697565073219947
3,P2,P2 / M3,5,spline,sample,2061,62,5,4000,0.9435230129832712,242.67740274784708,151.3085157340868,0.0,1.8204058776052987
3,P2,P2 / M3,5,spline,sample,2192,66,5,3000,0.9533524800437636,222.71575443985802,154.1804512738193,0.0,1.9758310049266283
3,P2,P2 / M3,5,spline,sample,2237,67,6,4000,0.8978767613592336,336.1658926619897,230.5450014702491,1.0,1.1410293775756875
3,P2,P2 / M3,5,spline,sample,2276,68,6,10000,0.8557774806593107,372.491745227329,226.78575908530706,0.0,1.3556599895192
3,P2,P2 / M3,5,spline,sample,2296,69,5,8000,0.9538284508895329,207.6040081635403,149.46615940943937,0.0,0.9112686167622869
3,P2,P2 / M3,5,spline,sample,2319,70,4,9000,0.8912062682439057,340.52937152965245,204.18056356247504,0.0,1.1086603190820228
3,P2,P2 / M3,5,spline,sample,2345,71,4,2000,0.9407673946657741,265.4591555473525,169.94629862342845,0.0,0.802268339709351
3,P2,P2 / M3,5,spline,sample,2388,72,5,1000,0.8920728415205545,340.8177892325166,214.2636350311002,0.0,1.612632114223707
3,P2,P2 / M3,5,spline,sample,2424,73,5,4000,0.9667974227362414,192.25198332160005,153.43116709677432,0.0,1.94323152716117
3,P2,P2 / M3,5,spline,sample,2508,76,4,0,0.9729573739808537,185.9389654664793,132.43568813283514,1.0,1.2575616371593
3,P2,P2 / M3,5,spline,sample,2546,77,4,5000,0.9576448763969648,217.75688751974445,160.97173317091705,0.0,0.9085472000984322
3,P2,P2 / M3,5,spline,sample,2573,77,6,10000,0.8606898093545486,373.4614533449869,237.46998859424008,0.0,1.2480836555888994
3,P2,P2 / M3,5,spline,sample,2692,81,5,8000,0.950785799239022,215.73737750402438,149.4019970211131,0.0,1.2409584648453917
